var-0,var-1,var-2,var-3,var-4,var-5,var-6,ETIQ
0.2644,0.8189,0.6921,0.423,0.3868,0.5813,0.9583,0
0.3687,0.9122,0.4929,0.5331,0.2487,0.5702,0.785,0
0.2537,0.697,0.6243,0.3194,0.2408,0.5374,0.9148,0
0.3726,0.7964,0.4533,0.3232,0.3403,0.7104,0.7791,0
0.3535,0.832,0.4812,0.4331,0.4929,0.6013,0.86,0
0.4631,0.8194,0.5001,0.3817,0.294,0.6544,0.6445,0
0.4141,0.7596,0.5771,0.5007,0.2078,0.5107,0.7031,0
0.3417,0.8162,0.6033,0.3232,0.3002,0.5383,0.8151,0
0.2651,0.8426,0.7242,0.4713,0.2495,0.4182,0.7438,0
0.2916,0.9653,0.4308,0.4065,0.369,0.4272,0.8137,0
0.4566,0.8711,0.5059,0.4621,0.4236,0.6391,0.8275,0
0.3229,0.7401,0.6297,0.5256,0.4449,0.6502,0.8364,0
0.3609,0.746,0.5292,0.4763,0.3245,0.532,0.6839,0
0.3873,0.6648,0.4712,0.3586,0.2816,0.3823,0.7263,0
0.2894,0.6306,0.7353,0.4424,0.5246,0.3808,0.7251,0
0.468,0.8739,0.7038,0.4817,0.3682,0.4505,0.8133,0
0.329,0.7348,0.6219,0.4561,0.23,0.6654,0.9117,0
0.2536,0.8371,0.463,0.3351,0.3834,0.6856,0.8552,0
0.2748,0.7432,0.7047,0.4544,0.291,0.4976,0.9022,0
0.3746,0.7908,0.6556,0.4686,0.1034,0.5484,0.842,0
0.4063,0.7449,0.8209,0.328,0.4054,0.4578,0.926,0
0.3686,0.845,0.4877,0.4463,0.3124,0.5065,0.8532,0
0.258,0.6569,0.3759,0.3495,0.376,0.5284,0.757,0
0.3689,0.7737,0.8068,0.3656,0.3709,0.5158,0.7372,0
0.2981,0.8139,0.65,0.3507,0.2616,0.6374,0.839,0
0.3169,0.7271,0.3888,0.5038,0.2673,0.4306,0.6215,0
0.414,0.6453,0.3729,0.5887,0.5086,0.5911,0.7819,0
0.2878,0.8225,0.4912,0.5533,0.4604,0.5993,0.9388,0
0.4381,0.676,0.4155,0.3644,0.3692,0.6275,0.797,0
0.3529,0.7931,0.5835,0.3286,0.4713,0.6322,0.9038,0
0.3241,0.8896,0.6793,0.4118,0.3334,0.5896,0.7978,0
0.2432,0.7446,0.5366,0.4289,0.3173,0.4692,0.8556,0
0.4569,0.8913,0.6121,0.3718,0.2894,0.5122,0.8227,0
0.4035,0.8996,0.6648,0.4101,0.2496,0.5203,0.8621,0
0.3563,0.8165,0.4716,0.455,0.482,0.4837,0.9312,0
0.3423,0.8608,0.7238,0.4306,0.5243,0.4543,0.9079,0
0.4193,0.7127,0.3497,0.3973,0.3673,0.7119,0.8227,0
0.3539,0.7958,0.652,0.4444,0.3447,0.3349,0.8657,0
0.5068,0.9285,0.5,0.429,0.3052,0.5194,0.7008,0
0.2528,0.6964,0.5157,0.3976,0.3422,0.5145,0.8281,0
0.4549,0.5647,0.517,0.5513,0.3517,0.4293,0.7596,0
0.3992,0.7538,0.4203,0.5069,0.2799,0.5882,0.8878,0
0.3657,0.5649,0.4311,0.4827,0.3281,0.5758,0.8111,0
0.2647,0.8864,0.4652,0.3867,0.1388,0.3934,0.8022,0
0.4186,0.7463,0.5573,0.4612,0.366,0.5455,0.8099,0
0.3599,0.5812,0.6405,0.4924,0.3291,0.6128,1.0,0
0.5378,0.8179,0.5394,0.3769,0.2289,0.5072,0.8299,0
0.3068,0.7261,0.6705,0.3769,0.3849,0.5332,0.8691,0
0.4353,0.8048,0.5725,0.5109,0.4371,0.5892,0.8268,0
0.3963,0.7791,0.4747,0.5384,0.243,0.603,0.9769,0
0.2676,0.7546,0.5377,0.3656,0.3675,0.381,0.7916,0
0.3264,0.8813,0.5288,0.4486,0.2235,0.6148,0.8299,0
0.3459,0.7472,0.5865,0.3048,0.1812,0.424,0.7345,0
0.343,0.7354,0.4561,0.3901,0.3162,0.4622,0.7782,0
0.3847,0.6657,0.3174,0.4739,0.3846,0.4227,0.8718,0
0.3627,0.7739,0.5603,0.3676,0.3357,0.6268,0.7283,0
0.3201,0.752,0.6204,0.3955,0.4085,0.4423,0.8094,0
0.3753,0.7277,0.4259,0.4714,0.3729,0.6622,0.9045,0
0.2732,0.7336,0.721,0.5125,0.3108,0.5312,0.7678,0
0.2828,0.739,0.6557,0.4632,0.3414,0.5031,0.7253,0
0.3685,0.5666,0.5088,0.3496,0.2193,0.5721,0.7245,0
0.4139,0.788,0.5924,0.4652,0.2416,0.6085,0.6757,0
0.4712,0.8396,0.7012,0.5077,0.3113,0.5579,0.8217,0
0.2809,0.716,0.5119,0.4717,0.3104,0.503,0.7625,0
0.3733,0.8116,0.3619,0.4095,0.2399,0.591,0.948,0
0.3897,0.7054,0.3804,0.4371,0.3448,0.3781,0.8521,0
0.3164,0.825,0.7587,0.4372,0.2558,0.6015,0.8438,0
0.3211,0.7151,0.5521,0.3931,0.3833,0.3374,0.99,0
0.2998,0.7901,0.7828,0.4331,0.348,0.3968,0.9084,0
0.3022,0.9764,0.4952,0.4002,0.3975,0.4413,0.789,0
0.2981,0.924,0.4394,0.3989,0.4513,0.6577,0.7441,0
0.3852,0.747,0.583,0.4352,0.4611,0.4959,0.8806,0
0.4003,0.7671,0.7011,0.487,0.3435,0.4543,0.6805,0
0.3928,0.8787,0.4776,0.5284,0.3015,0.5426,0.779,0
0.3802,0.8507,0.4829,0.4455,0.2274,0.6004,0.7507,0
0.3506,0.6485,0.6305,0.5247,0.3593,0.4683,0.7479,0
0.3024,0.7592,0.5489,0.3936,0.4035,0.5191,0.7947,0
0.47,0.7073,0.5347,0.4831,0.4174,0.4264,0.8897,0
0.2941,0.7162,0.7256,0.4592,0.3568,0.5968,0.8854,0
0.3826,0.697,0.3036,0.3974,0.4562,0.4181,0.7661,0
0.3627,0.8612,0.5392,0.4995,0.3371,0.6335,0.8123,0
0.3697,0.7772,0.6858,0.4716,0.4505,0.6021,0.7857,0
0.3424,0.7901,0.5958,0.4451,0.2518,0.5811,0.7556,0
0.4427,0.8484,0.5345,0.3922,0.2936,0.4583,0.8939,0
0.4143,0.7921,0.6898,0.4486,0.3197,0.5289,0.7623,0
0.333,0.7116,0.4732,0.4117,0.331,0.7066,0.9094,0
0.3859,0.7653,0.4923,0.417,0.4137,0.4448,0.8783,0
0.4671,0.7216,0.5794,0.492,0.3455,0.52,0.7462,0
0.4313,0.7865,0.2802,0.4216,0.4826,0.4161,0.7718,0
0.3375,0.8373,0.4677,0.4893,0.2512,0.4959,0.8847,0
0.2942,0.8915,0.5673,0.4406,0.3268,0.6168,0.8911,0
0.4923,1.0,0.4329,0.3064,0.2947,0.4903,0.671,0
0.2679,0.9415,0.6863,0.474,0.3425,0.4532,0.8573,0
0.3344,0.7544,0.4987,0.3934,0.3601,0.3743,0.7744,0
0.2133,0.8858,0.7352,0.4599,0.4233,0.5951,0.9119,0
0.3594,0.8806,0.4478,0.4481,0.4642,0.5284,0.8981,0
0.3746,0.6952,0.874,0.483,0.2548,0.6593,0.8474,0
0.3419,0.8256,0.4025,0.4757,0.3142,0.6096,0.9218,0
0.2361,0.729,0.5098,0.4344,0.3022,0.4835,0.7897,0
0.2927,0.8996,0.615,0.5112,0.3735,0.3896,0.6066,0
0.4933,0.6885,0.1853,0.2727,0.8153,0.107,0.8044,1
0.5508,0.7608,0.2643,0.3277,0.7707,0.1002,0.7961,1
0.5264,0.7071,0.1564,0.299,0.8155,0.1355,0.7518,1
0.5405,0.8562,0.0952,0.3051,0.7877,0.0221,0.8586,1
0.636,0.8233,0.2859,0.3068,0.8546,0.1875,0.8094,1
0.5201,0.832,0.3066,0.2776,0.8229,0.1616,0.8999,1
0.6389,0.7362,0.1453,0.2343,0.7804,0.163,0.7754,1
0.511,0.7655,0.1189,0.2479,0.8735,0.0591,0.737,1
0.6258,0.7274,0.1895,0.3173,0.8113,0.1045,0.73,1
0.5215,0.838,0.23,0.3246,0.9344,0.0215,0.7973,1
0.5286,0.8284,0.2531,0.2741,0.7852,0.0875,0.7781,1
0.6162,0.744,0.5036,0.2792,0.8741,0.1108,0.8039,1
0.4735,0.8706,0.2872,0.302,0.8,0.1361,0.837,1
0.6115,0.7801,0.1293,0.3601,0.9366,0.0915,0.7085,1
0.5591,0.8089,0.1643,0.3323,0.7566,0.015,0.7159,1
0.6473,0.867,0.3121,0.2956,0.9115,0.144,0.7008,1
0.6072,0.7338,0.1375,0.3429,0.7479,0.0626,0.7652,1
0.551,0.8364,0.2159,0.329,0.7845,0.0126,0.7487,1
0.581,0.8022,0.0435,0.281,0.8183,0.0017,0.7875,1
0.6025,0.9126,0.2299,0.2009,0.8439,0.0973,0.7516,1
0.6027,0.8368,0.0282,0.2236,0.82,0.1422,0.8942,1
0.5462,0.7356,0.3358,0.2787,0.8151,0.1343,0.7063,1
0.5882,0.7824,0.2229,0.1242,0.7386,0.0761,0.911,1
0.57,0.729,0.3895,0.2369,0.731,0.1605,0.7583,1
0.5836,0.691,0.1278,0.2623,0.8448,0.15,0.7421,1
0.58,0.7638,0.2583,0.229,0.7952,0.0016,0.7897,1
0.6015,0.772,0.1667,0.2654,0.9492,0.0,0.7443,1
0.5328,0.8436,0.1737,0.288,0.8341,0.1241,0.7467,1
0.592,0.8282,0.0816,0.2229,0.8589,0.1583,0.7268,1
0.5787,0.7573,0.2177,0.258,0.8043,0.113,0.7901,1
0.5148,0.8134,0.0989,0.1932,0.7886,0.1111,0.7754,1
0.5524,0.7689,0.3298,0.2876,0.9057,0.0611,0.7215,1
0.4809,0.8111,0.2925,0.2826,0.8359,0.0948,0.826,1
0.527,0.706,0.1436,0.3131,0.8429,0.1166,0.7963,1
0.5796,0.7679,0.2785,0.3162,0.7868,0.2103,0.7961,1
0.5715,0.746,0.1519,0.2051,0.8623,0.1324,0.7888,1
0.5845,0.7473,0.3033,0.2829,0.79,0.0798,0.7115,1
0.5852,0.78,0.1748,0.371,0.8136,0.0391,0.8236,1
0.555,0.7278,0.2632,0.3067,0.7795,0.1015,0.7993,1
0.5778,0.8409,0.3348,0.1884,0.8211,0.1067,0.7308,1
0.5522,0.6617,0.2635,0.2079,0.7822,0.1361,0.7664,1
0.5164,0.8551,0.1037,0.345,0.7991,0.146,0.657,1
0.5478,0.812,0.1034,0.3127,0.756,0.1434,0.7757,1
0.5839,0.765,0.1404,0.2331,0.7968,0.075,0.7899,1
0.5958,0.9033,0.0811,0.2826,0.8031,0.1696,0.8769,1
0.5923,0.8966,0.275,0.1742,0.875,0.1487,0.7288,1
0.5277,0.6601,0.3934,0.2663,0.7953,0.031,0.7619,1
0.5688,0.7486,0.305,0.2071,0.7623,0.1981,0.7993,1
0.5377,0.7498,0.3974,0.3267,0.7896,0.2081,0.7665,1
0.5996,0.7777,0.1124,0.3081,0.8214,0.0133,0.8015,1
0.5793,0.792,0.2722,0.2031,0.8943,0.1261,0.8328,1
0.5596,0.8825,0.1331,0.2292,0.7981,0.0775,0.8034,1
0.5074,0.8333,0.2596,0.3097,0.7723,0.1314,0.7858,1
0.552,0.7437,0.2067,0.2494,0.7354,0.143,0.8244,1
0.5305,0.7944,0.272,0.3494,0.7739,0.1268,0.8133,1
0.5515,0.7932,0.2889,0.2722,0.8017,0.2332,0.8471,1
0.5287,0.7616,0.1757,0.2552,0.7982,0.1367,0.7414,1
0.6177,0.7797,0.1706,0.3084,0.8077,0.1306,0.7588,1
0.573,0.7393,0.169,0.3445,0.872,0.1498,0.8174,1
0.6229,0.7758,0.4303,0.2222,0.8382,0.1303,0.7021,1
0.5353,0.7608,0.0916,0.2192,0.8279,0.1524,0.7684,1
0.5689,0.7725,0.3109,0.3138,0.8294,0.2273,0.7432,1
0.5852,0.6478,0.2067,0.3062,0.7777,0.1644,0.8979,1
0.6232,0.8345,0.1875,0.2697,0.9089,0.15,0.7478,1
0.5358,0.7361,0.0,0.2334,0.8152,0.1612,0.8072,1
0.6163,0.8463,0.2801,0.3025,0.814,0.114,0.8426,1
0.5696,0.6706,0.2889,0.2619,0.8149,0.2039,0.8594,1
0.5871,0.7531,0.229,0.2336,0.8053,0.1268,0.8811,1
0.5307,0.7764,0.1419,0.2585,0.7923,0.0149,0.778,1
0.5112,0.7363,0.2645,0.2163,0.7085,0.0767,0.838,1
0.6278,0.7476,0.1267,0.2654,0.7709,0.0136,0.7281,1
0.5956,0.7275,0.2329,0.3839,0.8445,0.1716,0.8612,1
0.6154,0.8658,0.0928,0.3484,0.7592,0.0006,0.8045,1
0.6288,0.7927,0.2289,0.262,0.7588,0.2094,0.7949,1
0.5647,0.828,0.1695,0.2498,0.7819,0.1229,0.778,1
0.5799,0.5975,0.2387,0.3338,0.7889,0.1036,0.8352,1
0.5804,0.7541,0.1768,0.2813,0.7662,0.1088,0.8503,1
0.5621,0.709,0.1829,0.3413,0.7823,0.1662,0.8308,1
0.5512,0.7,0.346,0.2908,0.8539,0.0349,0.9033,1
0.5258,0.8153,0.1934,0.3127,0.7584,0.1287,0.8901,1
0.609,0.7141,0.1916,0.2496,0.8001,0.0956,0.8273,1
0.5498,0.7776,0.0608,0.27,0.8221,0.0739,0.8131,1
0.6376,0.8254,0.3924,0.2823,0.794,0.1262,0.9096,1
0.5869,0.6711,0.2586,0.2418,0.8839,0.0682,0.8305,1
0.5864,0.879,0.3775,0.2965,0.8326,0.1124,0.7372,1
0.5968,0.7364,0.2889,0.3567,0.7695,0.1259,0.7834,1
0.6049,0.701,0.1673,0.1987,0.8081,0.0917,0.7684,1
0.542,0.7411,0.1537,0.252,0.8062,0.0271,0.8403,1
0.5903,0.817,0.1368,0.3063,0.8758,0.2133,0.8877,1
0.5496,0.7952,0.1165,0.271,0.8323,0.221,0.7948,1
0.618,0.6868,0.0776,0.2937,0.7954,0.088,0.8447,1
0.6407,0.8124,0.2915,0.2796,0.8756,0.1473,0.7911,1
0.5901,0.8859,0.2488,0.2747,0.8503,0.1843,0.7116,1
0.6161,0.7545,0.1158,0.2491,0.7506,0.0837,0.8273,1
0.5857,0.7338,0.1952,0.222,0.8444,0.0763,0.8034,1
0.6387,0.8418,0.2737,0.2722,0.7543,0.1391,0.7595,1
0.5742,0.8145,0.1394,0.2199,0.8637,0.0965,0.8786,1
0.5972,0.7117,0.2376,0.2756,0.753,0.1107,0.7836,1
0.5334,0.828,0.3469,0.2797,0.8752,0.1488,0.7779,1
0.5815,0.8545,0.2035,0.3275,0.7861,0.0545,0.7549,1
0.2508,0.6387,0.4176,0.292,0.9234,0.5016,0.4459,2
0.1858,0.701,0.2725,0.2719,0.9517,0.5817,0.4278,2
0.2486,0.6371,0.3143,0.2314,0.9289,0.4456,0.524,2
0.1871,0.7544,0.2228,0.294,0.9188,0.5745,0.4803,2
0.1887,0.6786,0.3107,0.2552,0.8936,0.5815,0.4469,2
0.262,0.6639,0.3745,0.2351,0.8904,0.6193,0.4979,2
0.1686,0.6462,0.3725,0.2199,0.892,0.6041,0.3117,2
0.1863,0.7114,0.3185,0.2673,0.8821,0.5318,0.4416,2
0.2882,0.5804,0.3419,0.265,0.8126,0.5614,0.4739,2
0.2561,0.6123,0.2408,0.2516,0.9086,0.5388,0.4296,2
0.3032,0.6635,0.2579,0.1471,0.831,0.5492,0.3926,2
0.244,0.6443,0.2851,0.2555,0.8473,0.6027,0.389,2
0.2473,0.564,0.4063,0.2629,0.8734,0.5941,0.3627,2
0.3261,0.6746,0.3189,0.2077,0.839,0.6333,0.4917,2
0.2739,0.5127,0.2886,0.261,0.8834,0.6104,0.4748,2
0.2404,0.6449,0.3618,0.23,0.9283,0.6176,0.4652,2
0.2408,0.5771,0.3224,0.2358,0.8676,0.5725,0.5162,2
0.3269,0.6441,0.4605,0.2644,0.9658,0.5761,0.4128,2
0.1913,0.661,0.2562,0.2502,0.9227,0.5509,0.4042,2
0.2088,0.6945,0.2764,0.256,0.881,0.5909,0.4169,2
0.2347,0.6621,0.2479,0.2766,1.0,0.4879,0.4377,2
0.2422,0.52,0.3864,0.222,0.9459,0.5923,0.467,2
0.2954,0.5973,0.3047,0.1945,0.8881,0.6402,0.407,2
0.2728,0.6642,0.296,0.2637,0.8767,0.516,0.478,2
0.2044,0.6269,0.1531,0.2532,0.8896,0.5302,0.4216,2
0.2814,0.6897,0.2992,0.188,0.8627,0.5739,0.4679,2
0.2015,0.6073,0.1867,0.2389,0.861,0.5904,0.4465,2
0.3245,0.6575,0.3535,0.1718,0.8782,0.5397,0.3938,2
0.2495,0.5723,0.3583,0.2566,0.9434,0.5908,0.4167,2
0.2536,0.6623,0.3831,0.2927,0.8796,0.6196,0.4855,2
0.215,0.6805,0.3432,0.2476,0.9107,0.5347,0.4748,2
0.3124,0.6144,0.2307,0.3095,0.9178,0.6898,0.5625,2
0.2432,0.7061,0.2285,0.2216,0.8889,0.6658,0.4528,2
0.2583,0.7113,0.3165,0.2767,0.9408,0.6028,0.4367,2
0.2504,0.6056,0.4004,0.2767,0.925,0.6081,0.4466,2
0.2311,0.6465,0.2308,0.2268,0.8714,0.5376,0.4108,2
0.2538,0.6244,0.3951,0.1961,0.9513,0.5663,0.4592,2
0.3573,0.5994,0.2804,0.267,0.8946,0.4379,0.4428,2
0.2509,0.5577,0.3314,0.2388,0.8777,0.5414,0.3993,2
0.2222,0.6015,0.3782,0.2402,0.9372,0.5694,0.5059,2
0.2769,0.6235,0.3443,0.2232,0.9444,0.6056,0.4299,2
0.1935,0.5985,0.1853,0.2401,0.8384,0.5631,0.5409,2
0.3172,0.704,0.2589,0.3357,0.8947,0.5254,0.4199,2
0.2396,0.715,0.3311,0.2828,0.9263,0.5777,0.403,2
0.2171,0.641,0.2133,0.2627,0.9056,0.7211,0.44,2
0.2687,0.6544,0.2573,0.2915,0.9457,0.5794,0.4091,2
0.1912,0.6622,0.2506,0.1848,0.8861,0.5152,0.4226,2
0.2681,0.6482,0.1334,0.2599,0.9657,0.5853,0.4968,2
0.2363,0.6682,0.2355,0.2883,0.948,0.5177,0.4201,2
0.3168,0.5691,0.2821,0.2022,0.9266,0.6059,0.4498,2
0.2926,0.6754,0.3605,0.2683,0.9018,0.4221,0.4116,2
0.2802,0.621,0.3364,0.2421,0.8841,0.6483,0.4289,2
0.2912,0.6569,0.4311,0.2073,0.9335,0.5393,0.445,2
0.2146,0.656,0.2438,0.2265,0.8734,0.56,0.4507,2
0.2631,0.6151,0.2879,0.2238,0.9348,0.595,0.5061,2
0.2729,0.6095,0.2031,0.252,0.913,0.503,0.4099,2
0.2512,0.7016,0.3041,0.2644,0.8371,0.5234,0.4234,2
0.3005,0.662,0.3198,0.2268,0.8613,0.5601,0.4463,2
0.2244,0.6035,0.3158,0.1819,0.9205,0.5528,0.4776,2
0.2779,0.5936,0.3671,0.3348,0.868,0.6217,0.5115,2
0.1973,0.6326,0.2312,0.1952,0.9974,0.5399,0.4954,2
0.2495,0.642,0.3174,0.1847,0.9026,0.6325,0.4484,2
0.284,0.6698,0.2357,0.1651,0.9155,0.6365,0.4493,2
0.2413,0.7254,0.3681,0.2663,0.9084,0.5004,0.5436,2
0.2702,0.6768,0.3201,0.2743,0.9834,0.538,0.4476,2
0.2775,0.6059,0.3639,0.2101,0.9114,0.5261,0.4483,2
0.2739,0.6188,0.2636,0.2013,0.9254,0.5589,0.5138,2
0.199,0.6264,0.1602,0.2686,0.8986,0.5547,0.3656,2
0.2732,0.5883,0.3259,0.1452,0.9278,0.6415,0.4559,2
0.1815,0.6698,0.1869,0.2406,0.934,0.6082,0.4845,2
0.1665,0.6427,0.1541,0.2011,0.9114,0.632,0.5196,2
0.2169,0.5523,0.3322,0.2382,0.8835,0.4548,0.5201,2
0.3021,0.6014,0.3366,0.2519,0.8666,0.5186,0.4036,2
