var-0,var-1,var-2,var-3,var-4,ETIQ
0.4218,0.4768,0.7269,0.7967,0.2875,0
0.426,0.4758,0.7707,0.6571,0.2731,0
0.4649,0.4756,0.7482,0.612,0.3369,0
0.3843,0.5505,0.8059,0.6107,0.4169,0
0.3492,0.415,0.759,0.5704,0.2333,0
0.4127,0.5083,0.7944,0.7311,0.3899,0
0.4148,0.47,0.7409,0.6094,0.346,0
0.3986,0.4374,0.7684,0.7238,0.3656,0
0.4355,0.4818,0.7778,0.6192,0.1765,0
0.4114,0.523,0.7498,0.8264,0.3843,0
0.4226,0.4953,0.7373,0.7709,0.171,0
0.3838,0.4991,0.8221,0.6788,0.3338,0
0.4388,0.4929,0.7959,0.6572,0.3601,0
0.3967,0.5075,0.771,0.6832,0.3828,0
0.4623,0.5225,0.7384,0.6762,0.2383,0
0.5391,0.5048,0.7324,0.8603,0.3098,0
0.474,0.4448,0.753,0.621,0.5314,0
0.3995,0.4957,0.7014,0.611,0.382,0
0.4578,0.5124,0.7779,0.7201,0.4749,0
0.4772,0.5356,0.7803,0.7146,0.308,0
0.4496,0.5327,0.7464,0.6657,0.4781,0
0.4137,0.4699,0.7216,0.6135,0.3888,0
0.3861,0.5155,0.71,0.657,0.2149,0
0.4772,0.488,0.6944,0.4781,0.2528,0
0.3608,0.4479,0.7977,0.6843,0.3659,0
0.5246,0.5405,0.7711,0.771,0.4374,0
0.435,0.471,0.7888,0.6624,0.2213,0
0.3864,0.5294,0.7693,0.6692,0.4738,0
0.4827,0.4771,0.6943,0.6592,0.2877,0
0.4784,0.4241,0.831,0.7733,0.2371,0
0.4316,0.484,0.7345,0.6169,0.3845,0
0.4428,0.4917,0.7274,0.7173,0.3371,0
0.3763,0.5175,0.6468,0.567,0.3939,0
0.4241,0.4933,0.765,0.7508,0.4531,0
0.4027,0.4784,0.76,0.6645,0.3083,0
0.3827,0.4554,0.7566,0.5406,0.2815,0
0.3786,0.4939,0.7017,0.6612,0.4081,0
0.4156,0.426,0.7422,0.572,0.4456,0
0.4434,0.4598,0.7525,0.5652,0.3626,0
0.562,0.4538,0.762,0.6513,0.3425,0
0.3977,0.4386,0.7732,0.7075,0.374,0
0.3383,0.4489,0.7423,0.6277,0.2893,0
0.4135,0.5108,0.7714,0.7293,0.4996,0
0.4228,0.4662,0.7618,0.6266,0.2398,0
0.3723,0.4704,0.7148,0.8554,0.3939,0
0.3797,0.4475,0.7899,0.7977,0.3281,0
0.3916,0.5299,0.7371,0.661,0.2136,0
0.3953,0.5268,0.7958,0.6406,0.28,0
0.309,0.4999,0.7467,0.6655,0.4391,0
0.3638,0.4822,0.8132,0.6907,0.2177,0
0.3076,0.4851,0.7566,0.9367,0.2759,0
0.3641,0.41,0.7394,0.8127,0.2964,0
0.4341,0.4848,0.7656,0.8818,0.2308,0
0.433,0.4753,0.7361,0.6965,0.2982,0
0.3721,0.5285,0.7159,0.7061,0.3701,0
0.4,0.4889,0.7311,0.7733,0.2287,0
0.3266,0.5523,0.7641,0.8124,0.3174,0
0.422,0.4663,0.7283,0.6633,0.3418,0
0.41,0.4934,0.8063,0.734,0.3243,0
0.3745,0.485,0.7657,0.5919,0.3778,0
0.3956,0.5851,0.7426,0.558,0.364,0
0.4184,0.4681,0.7445,0.7348,0.3098,0
0.4007,0.4622,0.6843,0.6321,0.2429,0
0.4026,0.4977,0.8068,0.6951,0.3668,0
0.4234,0.514,0.7692,0.5889,0.3184,0
0.422,0.4976,0.7801,0.6063,0.3335,0
0.4099,0.527,0.7558,0.5806,0.4124,0
0.4119,0.436,0.7703,0.6984,0.3296,0
0.4007,0.532,0.7775,0.5849,0.3018,0
0.4344,0.4435,0.7887,0.8811,0.4232,0
0.3696,0.4985,0.7872,0.7992,0.4169,0
0.317,0.4818,0.7119,0.6179,0.3571,0
0.4103,0.4565,0.7472,0.593,0.2758,0
0.4309,0.423,0.7406,0.8339,0.4281,0
0.431,0.5185,0.7507,0.6939,0.3675,0
0.4187,0.4824,0.7653,0.6789,0.5602,0
0.3132,0.4589,0.7567,0.8599,0.3318,0
0.332,0.4547,0.7933,0.6983,0.3226,0
0.4012,0.5043,0.6833,0.6371,0.3094,0
0.3552,0.4751,0.7537,0.7583,0.3507,0
0.4127,0.5003,0.7459,0.6645,0.4141,0
0.4728,0.488,0.7738,0.6323,0.3846,0
0.4337,0.4902,0.7592,0.6676,0.184,0
0.3059,0.4871,0.7566,0.5972,0.2894,0
0.3911,0.4784,0.769,0.6963,0.2053,0
0.384,0.4208,0.7355,0.6732,0.4096,0
0.3287,0.4783,0.7144,0.6568,0.408,0
0.3606,0.4693,0.7524,0.7523,0.1579,0
0.417,0.4292,0.7848,0.693,0.4852,0
