var-0,var-1,var-2,var-3,var-4,var-5,var-6,var-7,var-8,var-9,var-10,var-11,var-12,var-13,var-14,var-15,var-16,var-17,var-18,var-19,var-20,var-21,var-22,var-23,var-24,var-25,var-26,var-27,var-28,var-29,var-30,var-31,ETIQ
0.1797,0.8817,0.8302,0.5451,0.9012,0.4905,0.886,0.532,0.2237,0.1001,0.5606,0.8725,0.5679,0.5706,0.1352,0.525,0.5714025946899135,0.4288890546751146,0.5780913011344704,0.20609823213950174,0.81332125135732,0.8235888725334455,0.6534725339011758,0.16022955651881965,0.5934164659026848,0.7433544040285465,0.5289666836391932,0.37905809354424447,0.46149644387310973,0.8758781455377213,0.2244086817822748,0.2996973652858238,0
0.1701,0.8486,0.8221,0.4945,0.818,0.4889,0.8227,0.4853,0.1849,0.1808,0.4987,0.8422,0.5071,0.5008,0.1639,0.506,0.5206693596399246,0.32777281162209315,0.24999667668640035,0.9528169091459117,0.9965569925394552,0.04455638245043303,0.860161037286291,0.603190610968185,0.5607747498862288,0.6211920257460797,0.6384507883161097,0.6807264265136993,0.3707122468557705,0.6283277250473934,0.2780542864577055,0.6913320074144368,0
0.1309,0.8126,0.8528,0.5194,0.789,0.5168,0.8906,0.5567,0.1899,0.101,0.4883,0.7706,0.4321,0.4625,0.1601,0.5396,0.3816059859191179,0.28361821790671515,0.674964847134956,0.45683115105830563,0.6858614854745947,0.6618463200523511,0.1329781447122128,0.7678378139439905,0.5574344843660456,0.5932334109452636,0.4504463008805179,0.298532461601781,0.1271887958617349,0.437493982910937,0.14432527606371354,0.9126783329939849,0
0.1025,0.8909,0.8353,0.5022,0.7636,0.4828,0.7866,0.5668,0.1615,0.151,0.4932,0.8274,0.5559,0.5648,0.2555,0.4721,0.9824132490111909,0.9693881604049188,0.613326820546709,0.0442606328646209,0.004055144158407464,0.13397252704913387,0.941002271395834,0.3028605620290723,0.9116744354016527,0.6459094738858565,0.385231414010386,0.8932558703700675,0.5530964016775005,0.3030932825793519,0.6473859644096785,0.5076332654252055,0
0.2492,0.9207,0.8725,0.4229,0.895,0.5597,0.7475,0.4694,0.1351,0.2093,0.5196,0.7947,0.4443,0.4412,0.0949,0.5516,0.3661456016604264,0.8981962445391883,0.31436380495645067,0.5489821840124055,0.43603095762412225,0.06499417612685054,0.5845462257019302,0.8440678976619022,0.8614979235089587,0.4787348283061365,0.30758109231485237,0.7347986329784071,0.3412801959454412,0.22812643821831585,0.7290630290837753,0.6524353656122307,0
0.1051,0.8872,0.9325,0.4322,0.8491,0.4867,0.9377,0.5812,0.0603,0.101,0.5765,0.8497,0.505,0.5681,0.2247,0.6,0.1564189183874064,0.2242989686860415,0.41287020771484073,0.03692486905862902,0.4966034986165482,0.8179828644296319,0.6578909387591091,0.5334837356527721,0.3342745410188689,0.621124256004214,0.35219920480822703,0.4659707685025072,0.6025114967916138,0.1007042494763405,0.40107279713919103,0.7171687687288592,0
0.132,0.8481,0.7989,0.505,0.8609,0.4921,0.8411,0.4748,0.1405,0.1748,0.5279,0.8716,0.4641,0.5322,0.1675,0.4885,0.8551257407736,0.14968813497140154,0.5672354768631239,0.3741748177480889,0.6013045471136395,0.11291570189443623,0.7755127010728279,0.09660583318435267,0.4651279146457412,0.5803748735327187,0.29243615611386725,0.6051651626525354,0.23840980845270232,0.8285982119821526,0.3296122702883846,0.4208191010364537,0
0.1756,0.8158,0.7925,0.5421,0.8571,0.5127,0.859,0.556,0.1292,0.204,0.5371,0.8153,0.5068,0.4952,0.1315,0.4923,0.16636374579324753,0.8074497520247557,0.9476939242234907,0.4332315025514858,0.41408083174830124,0.24548187614075512,0.274703391965577,0.6172527709741663,0.13265411223986598,0.7731956472935795,0.7967089307104549,0.6189494294989428,0.4786386597919468,0.4499216577719233,0.602813127842202,0.24085898676491,0
0.1821,0.8222,0.8381,0.5025,0.8503,0.5105,0.8283,0.4956,0.1506,0.1507,0.4932,0.8494,0.4839,0.4884,0.1715,0.495,0.17846041072072527,0.11948250433077712,0.45573485868103825,0.1649378065796322,0.648724831216227,0.821055674361497,0.7775113893753993,0.48013339022434753,0.5530354895309557,0.3325969761525119,0.9046449682942743,0.5718849971437362,0.2189239199773382,0.27248978066800755,0.7290026374681177,0.33536935701559323,0
0.1893,0.8102,0.8383,0.4964,0.8255,0.4846,0.8163,0.4952,0.1794,0.1651,0.514,0.8525,0.4835,0.5192,0.1708,0.496,0.34757125622081697,0.4347105489944344,0.005008574909348362,0.7125732007896374,0.33165722263549546,0.31942323776053394,0.07992503242021254,0.44805592600101607,0.28410237973414054,0.5356216134803581,0.29157738662830207,0.6640983907709369,0.6034290417012117,0.6487697524465489,0.38829535183053693,0.6169408336139366,0
0.2181,0.8191,0.7798,0.5607,0.783,0.4481,0.8626,0.475,0.1389,0.1864,0.5517,0.813,0.5538,0.5158,0.1809,0.5043,0.5828489673005941,0.390586941842884,0.8695455453974028,0.6733532167485129,0.2414082418108049,0.5253538488765902,0.9105338176465975,0.5201096943214129,0.38749404344787164,0.48015174245335523,0.3433207511215978,0.8840253938463213,0.8347137676091377,0.5451666658079402,0.6166716662079512,0.21842246524967263,0
0.1655,0.8339,0.834,0.4987,0.8338,0.4999,0.8336,0.4997,0.1657,0.1662,0.5016,0.8323,0.5012,0.5001,0.1653,0.501,0.6021048687389493,0.06277362381152096,0.48938611652176434,0.4614412627964344,0.4011298800689024,0.4204353581465221,0.5849350493343958,0.5386670484231432,0.7539042975179459,0.7615732123915903,0.323462794473011,0.5855692544547928,0.6847569137207554,0.7309515619072623,0.7298168249064984,0.10286319907566878,0
0.1683,0.8325,0.8354,0.5011,0.8326,0.5006,0.8357,0.4984,0.1652,0.1656,0.5016,0.8321,0.4988,0.5006,0.1671,0.4996,0.4898957587909363,0.16579644053220766,0.4413468174535875,0.9686781985609425,0.4151736932178327,0.035317829787831156,0.002830426682370324,0.5354184513162129,0.5949515566240241,0.5271645937060985,0.7248187678437673,0.5874901948220669,0.8751031902578786,0.5240242969151534,0.2345622902814828,0.24877805869770503,0
0.1119,0.7756,0.7782,0.448,0.865,0.556,0.7895,0.4866,0.11,0.159,0.5189,0.8478,0.5469,0.506,0.1144,0.4856,0.05057294182209637,0.09274340534219172,0.10875641262696911,0.4540783303488197,0.9926880657637538,0.48505535080507134,0.4586402838083844,0.4365108145371187,0.6372806874296867,0.5849648517932753,0.5219743404943469,0.45044667336541666,0.48046720889391625,0.4565916450363374,0.6962339401617462,0.5927847478242101,0
0.1475,0.7791,0.8482,0.4987,0.8577,0.4842,0.7833,0.4726,0.1289,0.1621,0.4596,0.7842,0.5029,0.4581,0.1206,0.4557,0.5011121848422556,0.4470874692740242,0.726215200566661,0.8979415356273188,0.6978703473377672,0.42331060266774045,0.6495291182373754,0.9095405975236686,0.001963530390138278,0.4394453756044092,0.41783540569213795,0.49737723829247865,0.3291442977710773,0.24126986293241096,0.3214378246159692,0.25648685940680604,0
0.2546,0.9222,0.8551,0.5388,0.9061,0.4792,0.8361,0.5611,0.2051,0.1979,0.542,0.8435,0.4179,0.4443,0.2215,0.4767,0.15362734153599478,0.2373424569000443,0.6191120001144675,0.6870199456481508,0.6426002227117794,0.5885285628983279,0.8294231938453709,0.4789429532356768,0.7638147362237276,0.10065211475841844,0.6333120647525907,0.6916889855588162,0.1919406693776268,0.28505705093597494,0.4238642697645933,0.8246558282121292,0
