var-0,var-1,var-2,var-3,var-4,var-5,var-6,var-7,var-8,var-9,var-10,var-11,var-12,var-13,var-14,var-15,var-16,var-17,var-18,var-19,var-20,var-21,var-22,var-23,var-24,var-25,var-26,var-27,var-28,var-29,var-30,var-31,var-32,var-33,var-34,var-35,var-36,var-37,var-38,var-39,var-40,var-41,var-42,var-43,var-44,var-45,var-46,var-47,var-48,var-49,var-50,var-51,var-52,var-53,var-54,var-55,var-56,var-57,var-58,var-59,ETIQ
0.8395,0.1605,0.8401,0.4746,0.1937,0.5279,0.1799,0.1374,0.5018,0.8185,0.1451,0.2057,0.5428,0.1274,0.1977,0.1756,0.8231,0.4813,0.5151,0.1629,0.516,0.514,0.8017,0.5231,0.5416,0.8738,0.5098,0.794,0.4572,0.4684,0.5714025946899135,0.4288890546751146,0.5780913011344704,0.20609823213950174,0.81332125135732,0.8235888725334455,0.6534725339011758,0.16022955651881965,0.5206693596399246,0.32777281162209315,0.24999667668640035,0.9528169091459117,0.9965569925394552,0.04455638245043303,0.860161037286291,0.5934164659026848,0.7433544040285465,0.5289666836391932,0.37905809354424447,0.46149644387310973,0.8758781455377213,0.2244086817822748,0.2996973652858238,0.5607747498862288,0.6211920257460797,0.6384507883161097,0.6807264265136993,0.3707122468557705,0.6283277250473934,0.2780542864577055,0
0.8688,0.1508,0.8226,0.532,0.1517,0.5039,0.1615,0.1317,0.5068,0.861,0.139,0.1445,0.493,0.1294,0.1664,0.1922,0.846,0.5027,0.5286,0.1385,0.5054,0.4899,0.8415,0.4689,0.5222,0.8009,0.4732,0.8581,0.536,0.4946,0.603190610968185,0.3816059859191179,0.28361821790671515,0.674964847134956,0.45683115105830563,0.6858614854745947,0.6618463200523511,0.1329781447122128,0.7678378139439905,0.9824132490111909,0.9693881604049188,0.613326820546709,0.0442606328646209,0.004055144158407464,0.13397252704913387,0.6913320074144368,0.5574344843660456,0.5932334109452636,0.4504463008805179,0.298532461601781,0.1271887958617349,0.437493982910937,0.14432527606371354,0.9126783329939849,0.9116744354016527,0.6459094738858565,0.385231414010386,0.8932558703700675,0.5530964016775005,0.3030932825793519,0
0.83,0.1568,0.8246,0.5045,0.1542,0.4853,0.165,0.1537,0.5058,0.8458,0.1774,0.1659,0.4941,0.1641,0.1475,0.1749,0.8268,0.493,0.4837,0.1647,0.5032,0.4958,0.8476,0.5067,0.49,0.8343,0.5159,0.8341,0.504,0.4831,0.941002271395834,0.3028605620290723,0.3661456016604264,0.8981962445391883,0.31436380495645067,0.5489821840124055,0.43603095762412225,0.06499417612685054,0.5845462257019302,0.8440678976619022,0.1564189183874064,0.2242989686860415,0.41287020771484073,0.03692486905862902,0.4966034986165482,0.6473859644096785,0.5076332654252055,0.8614979235089587,0.4787348283061365,0.30758109231485237,0.7347986329784071,0.3412801959454412,0.22812643821831585,0.7290630290837753,0.6524353656122307,0.3342745410188689,0.621124256004214,0.35219920480822703,0.4659707685025072,0.6025114967916138,0
0.8333,0.1666,0.8333,0.5,0.1667,0.5,0.1667,0.1665,0.5,0.8336,0.1666,0.1664,0.4997,0.1667,0.1664,0.1664,0.8331,0.5,0.5003,0.1667,0.5,0.5,0.8333,0.5,0.5001,0.8336,0.5001,0.8333,0.5001,0.5002,0.8179828644296319,0.6578909387591091,0.5334837356527721,0.8551257407736,0.14968813497140154,0.5672354768631239,0.3741748177480889,0.6013045471136395,0.11291570189443623,0.7755127010728279,0.09660583318435267,0.16636374579324753,0.8074497520247557,0.9476939242234907,0.4332315025514858,0.1007042494763405,0.40107279713919103,0.7171687687288592,0.4651279146457412,0.5803748735327187,0.29243615611386725,0.6051651626525354,0.23840980845270232,0.8285982119821526,0.3296122702883846,0.4208191010364537,0.13265411223986598,0.7731956472935795,0.7967089307104549,0.6189494294989428,0
0.8158,0.1534,0.8394,0.5095,0.1739,0.5045,0.1833,0.1656,0.5156,0.8567,0.1634,0.1848,0.511,0.1863,0.1437,0.1876,0.8468,0.5234,0.5243,0.1558,0.5086,0.4819,0.8381,0.5212,0.4844,0.8257,0.4787,0.8179,0.4852,0.4796,0.41408083174830124,0.24548187614075512,0.274703391965577,0.6172527709741663,0.17846041072072527,0.11948250433077712,0.45573485868103825,0.1649378065796322,0.648724831216227,0.821055674361497,0.7775113893753993,0.48013339022434753,0.34757125622081697,0.4347105489944344,0.005008574909348362,0.4786386597919468,0.4499216577719233,0.602813127842202,0.24085898676491,0.5530354895309557,0.3325969761525119,0.9046449682942743,0.5718849971437362,0.2189239199773382,0.27248978066800755,0.7290026374681177,0.33536935701559323,0.28410237973414054,0.5356216134803581,0.29157738662830207,0
0.9094,0.2256,0.8278,0.5371,0.1964,0.5034,0.155,0.1916,0.5084,0.7977,0.146,0.186,0.5193,0.1225,0.1834,0.2237,0.8898,0.5232,0.4346,0.155,0.4375,0.4323,0.796,0.4934,0.5395,0.8529,0.4669,0.863,0.501,0.5011,0.7125732007896374,0.33165722263549546,0.31942323776053394,0.07992503242021254,0.44805592600101607,0.5828489673005941,0.390586941842884,0.8695455453974028,0.6733532167485129,0.2414082418108049,0.5253538488765902,0.9105338176465975,0.5201096943214129,0.6021048687389493,0.06277362381152096,0.6640983907709369,0.6034290417012117,0.6487697524465489,0.38829535183053693,0.6169408336139366,0.38749404344787164,0.48015174245335523,0.3433207511215978,0.8840253938463213,0.8347137676091377,0.5451666658079402,0.6166716662079512,0.21842246524967263,0.7539042975179459,0.7615732123915903,0
0.8197,0.1633,0.8242,0.513,0.1657,0.4969,0.1653,0.1655,0.5109,0.846,0.184,0.1612,0.5169,0.1934,0.195,0.1794,0.8084,0.52,0.5193,0.1389,0.4901,0.4898,0.8472,0.5063,0.4875,0.8153,0.4809,0.8101,0.5167,0.525,0.48938611652176434,0.4614412627964344,0.4011298800689024,0.4204353581465221,0.5849350493343958,0.5386670484231432,0.4898957587909363,0.16579644053220766,0.4413468174535875,0.9686781985609425,0.4151736932178327,0.035317829787831156,0.002830426682370324,0.5354184513162129,0.05057294182209637,0.323462794473011,0.5855692544547928,0.6847569137207554,0.7309515619072623,0.7298168249064984,0.10286319907566878,0.5949515566240241,0.5271645937060985,0.7248187678437673,0.5874901948220669,0.8751031902578786,0.5240242969151534,0.2345622902814828,0.24877805869770503,0.6372806874296867,0
0.829,0.1704,0.8403,0.4953,0.1678,0.4991,0.174,0.1723,0.4926,0.8287,0.172,0.1678,0.5004,0.1714,0.1707,0.1736,0.8307,0.4931,0.503,0.1598,0.501,0.5055,0.8318,0.5016,0.495,0.8281,0.5016,0.8389,0.5077,0.4928,0.09274340534219172,0.10875641262696911,0.4540783303488197,0.9926880657637538,0.48505535080507134,0.4586402838083844,0.4365108145371187,0.5011121848422556,0.4470874692740242,0.726215200566661,0.8979415356273188,0.6978703473377672,0.42331060266774045,0.6495291182373754,0.9095405975236686,0.5849648517932753,0.5219743404943469,0.45044667336541666,0.48046720889391625,0.4565916450363374,0.6962339401617462,0.5927847478242101,0.001963530390138278,0.4394453756044092,0.41783540569213795,0.49737723829247865,0.3291442977710773,0.24126986293241096,0.3214378246159692,0.25648685940680604,0
0.8482,0.1671,0.828,0.4964,0.1694,0.4946,0.1541,0.1796,0.5073,0.8372,0.1745,0.1839,0.4885,0.1781,0.1781,0.1611,0.8354,0.4985,0.4892,0.1643,0.4877,0.5153,0.8223,0.5047,0.5025,0.8501,0.5104,0.8284,0.4956,0.4841,0.15362734153599478,0.2373424569000443,0.6191120001144675,0.6870199456481508,0.6426002227117794,0.5885285628983279,0.8294231938453709,0.4789429532356768,0.8075888612596384,0.9623558468839565,0.43535668292056506,0.8588455784808138,0.7182423791983076,0.8886814943629995,0.04623588619564345,0.7638147362237276,0.10065211475841844,0.6333120647525907,0.6916889855588162,0.1919406693776268,0.28505705093597494,0.4238642697645933,0.8246558282121292,0.8212292682248771,0.20915615101386778,0.950017382894632,0.8079805553672537,0.574279655343787,0.7381544389316124,0.2670074928751167,0
0.7729,0.1412,0.894,0.4393,0.1231,0.5184,0.1479,0.1243,0.5603,0.7717,0.1799,0.1571,0.4792,0.1256,0.1212,0.1539,0.8673,0.4957,0.5374,0.2177,0.4559,0.5512,0.8443,0.4893,0.5018,0.8859,0.4854,0.7787,0.562,0.4486,0.9130986448423635,0.7668385355448595,0.9623789273619899,0.98131935906942,0.28548573078687023,0.6700013166466804,0.14127353102702234,0.5951327636887873,0.9195796756956715,0.19197332103443343,0.3498686863671552,0.07974567705000712,0.19465631564517616,0.20770266641880264,0.09600092980546204,0.3262321778806015,0.49435395848643476,0.7540686000867486,0.3014594294322652,0.5757022769599185,0.5892423434697962,0.4418921259443907,0.500236750308169,0.2320984164783869,0.44868130335079137,0.31402166371204043,0.49847542061988426,0.48917002789298575,0.5350832729341234,0.47299212520988365,0
