var-0,var-1,var-2,ETIQ
0.2532,0.6937,0.0889,0
0.2694,0.7339,0.0553,0
0.2664,0.6954,0.0645,0
0.2702,0.6829,0.0696,0
0.2312,0.7107,0.0738,0
0.251,0.7014,0.0674,0
0.3022,0.6916,0.0134,0
0.2734,0.7302,0.0755,0
0.2567,0.6836,0.068,0
0.2804,0.7542,0.0885,0
0.237,0.6593,0.0643,0
0.226,0.7309,0.0406,0
0.2843,0.7352,0.0876,0
0.259,0.7282,0.0484,0
0.233,0.7023,0.0546,0
0.2535,0.7173,0.0602,0
0.2449,0.6895,0.0317,0
0.2829,0.7266,0.0578,0
0.267,0.6955,0.0678,0
0.2577,0.6948,0.0388,0
0.2609,0.7235,0.0784,0
0.2563,0.7051,0.0444,0
0.2485,0.6973,0.0496,0
0.2286,0.7255,0.043,0
0.249,0.7381,0.0635,0
0.259,0.7206,0.0644,0
0.2565,0.7339,0.0622,0
0.2478,0.7109,0.0269,0
0.2557,0.7314,0.0876,0
0.2832,0.7178,0.0,0
0.2558,0.7029,0.0435,0
0.246,0.7204,0.0128,0
0.2634,0.7568,0.0325,0
0.251,0.7083,0.0276,0
0.2626,0.7422,0.0639,0
0.3014,0.7128,0.0794,0
0.274,0.7303,0.0459,0
0.2854,0.6977,0.057,0
0.2691,0.7362,0.0523,0
0.2568,0.7482,0.0325,0
0.2555,0.7042,0.078,0
0.2806,0.6773,0.0344,0
0.2709,0.7499,0.0624,0
0.2553,0.6854,0.0494,0
0.2469,0.7161,0.0333,0
0.2272,0.7694,0.0638,0
0.2855,0.721,0.061,0
0.2408,0.6773,0.0678,0
0.2408,0.7513,0.0614,0
0.2666,0.739,0.0639,0
0.2348,0.7441,0.0428,0
0.2578,0.7392,0.082,0
0.2793,0.7461,0.0363,0
0.3,0.7859,0.0667,0
0.2974,0.7017,0.0649,0
0.282,0.7189,0.0551,0
0.2536,0.7509,0.0867,0
0.271,0.7075,0.0774,0
0.2634,0.712,0.0364,0
0.2801,0.7244,0.0527,0
0.2072,0.7549,0.0473,0
0.248,0.7027,0.0763,0
0.2627,0.7212,0.0657,0
0.2269,0.7443,0.0558,0
0.2743,0.7755,0.079,0
0.2934,0.7504,0.094,0
0.24,0.691,0.0674,0
0.2596,0.6774,0.0245,0
0.2641,0.7073,0.0699,0
0.321,0.7069,0.0583,0
0.2333,0.7127,0.0744,0
0.2557,0.6638,0.0912,0
0.2719,0.7219,0.0506,0
0.258,0.684,0.0674,0
